,Rank,Name,county_name,city_state,state,2020_Pop,2010_Census,Change,Density_km,Area_km,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Unemployment,pop_change,pop_change_per_year,est_pop_2011,est_pop_2012,est_pop_2013,est_pop_2014,est_pop_2015,est_pop_2016,est_pop_2017,est_pop_2018,est_pop_2019,City,State_Code,2018 total police force,total_employees,2018 police officers,2018 police civilians
93,94,Irving,Dallas,Irving_Texas,Texas,243738,216867,0.1239,1403,174,39.6,30.2,22.1,0.2,6,0,29810,17.7,5.9,26871,2687.1,219554.1,222241.2,224928.3,227615.4,230302.5,232989.6,235676.7,238363.8,241050.9,Irving,TX,243940,530,354,176
94,95,Hialeah,Miami-Dade,Hialeah_Florida,Florida,243208,225460,0.0787,4351,56,67.5,13.7,16.3,0.1,1.5,0,25481,19,7.4,17748,1774.8,227234.8,229009.6,230784.4,232559.2,234334,236108.8,237883.6,239658.4,241433.2,Hialeah,FL,241778,335,269,66
95,96,Norfolk,Norfolk,Norfolk_Virginia,Virginia,242234,242998,-0.0031,1756,138,7.6,43.6,41.2,0.3,3.5,0,26670,21,8.5,-764,-76.4,242921.6,242845.2,242768.8,242692.4,242616,242539.6,242463.2,242386.8,242310.4,Norfolk,VA,244347,801,702,99
96,97,Fremont,Alameda,Fremont_California,California,239525,214561,0.1163,1194,201,22.5,32.2,10.7,0.3,28.7,0.8,41363,11.3,6,24964,2496.4,217057.4,219553.8,222050.2,224546.6,227043,229539.4,232035.8,234532.2,237028.6,Fremont,CA,238024,278,181,97
97,98,Boise,Ada,Boise_Idaho,Idaho,234576,209578,0.1193,1082,217,7.9,85.2,1.2,0.4,2.6,0.1,31642,11.8,4.3,24998,2499.8,212077.8,214577.6,217077.4,219577.2,222077,224576.8,227076.6,229576.4,232076.2,Boise,ID,229265,376,292,84
98,99,Paradise,Clark,Paradise_Nevada,Nevada,233689,223167,0.0471,1931,121,30.7,44.1,10.8,0.4,9.5,0.7,27719,14.6,8.3,10522,1052.2,224219.2,225271.4,226323.6,227375.8,228428,229480.2,230532.4,231584.6,232636.8,,,,,,
99,100,Richmond,Richmond,Richmond_Virginia,Virginia,232055,204256,0.1361,1495,155,6.6,60.9,25.7,0.3,2,0,19728,17.4,6.4,27799,2779.9,207035.9,209815.8,212595.7,215375.6,218155.5,220935.4,223715.3,226495.2,229275.1,Richmond,VA,229927,841,737,104
100,101,Arlington,Arlington,Arlington_Virginia,Virginia,231803,207627,0.1164,3443,67,15.5,62.3,8.5,0.3,10.2,0.1,67061,8.2,3.2,24176,2417.6,210044.6,212462.2,214879.8,217297.4,219715,222132.6,224550.2,226967.8,229385.4,,,,,,
101,102,Spokane,Spokane,Spokane_Washington,Washington,223266,209523,0.0656,1254,178,5.4,85.3,1.6,1.2,2.2,0.5,28325,15.2,6.3,13743,1374.3,210897.3,212271.6,213645.9,215020.2,216394.5,217768.8,219143.1,220517.4,221891.7,Spokane,WA,218222,410,326,84
102,103,Tacoma,Pierce,Tacoma_Washington,Washington,222603,198227,0.123,1727,129,10.4,68,6.5,1,6,1.4,31157,12.2,6.9,24376,2437.6,200664.6,203102.2,205539.8,207977.4,210415,212852.6,215290.2,217727.8,220165.4,Tacoma,WA,215687,386,346,40
103,104,Modesto,Stanislaus,Modesto_California,California,218758,203314,0.076,1965,111,45,43.4,2.5,0.4,5.4,0.6,24007,17.2,11.8,15444,1544.4,204858.4,206402.8,207947.2,209491.6,211036,212580.4,214124.8,215669.2,217213.6,Modesto,CA,215822,301,217,84
104,105,Fontana,San Bernardino,Fontana_California,California,218573,197342,0.1076,1959,112,52.3,29.8,8,0.3,6.7,0.3,22867,18.2,9.9,21231,2123.1,199465.1,201588.2,203711.3,205834.4,207957.5,210080.6,212203.7,214326.8,216449.9,Fontana,CA,213964,290,183,107
105,106,Des Moines,Polk,Des Moines_Iowa,Iowa,217891,205004,0.0629,954,228,8.1,78.5,6.3,0.2,4.3,0.1,33524,11.7,4.7,12887,1288.7,206292.7,207581.4,208870.1,210158.8,211447.5,212736.2,214024.9,215313.6,216602.3,Des Moines,IA,516853,465,362,103
106,107,San Bernardino,San Bernardino,San Bernardino_California,California,217671,209853,0.0373,1353,161,52.3,29.8,8,0.3,6.7,0.3,22867,18.2,9.9,7818,781.8,210634.8,211416.6,212198.4,212980.2,213762,214543.8,215325.6,216107.4,216889.2,San Bernardino,CA,217986,394,238,156
107,108,Baton Rouge,East Baton Rouge,Baton Rouge_Louisiana,Louisiana,216701,229369,-0.0552,968,224,4,45.2,45.6,0.1,3.4,0,30162,19.1,6.9,-12668,-1266.8,228102.2,226835.4,225568.6,224301.8,223035,221768.2,220501.4,219234.6,217967.8,Baton Rouge,LA,224790,795,631,164
108,109,Frisco,Collin,Frisco_Texas,Texas,215060,118192,0.8196,1219,176,15.1,59.1,9.2,0.3,13.5,0.1,41609,6.9,4.3,96868,9686.8,127878.8,137565.6,147252.4,156939.2,166626,176312.8,185999.6,195686.4,205373.2,Frisco,TX,187889,285,186,99
109,110,Salt Lake City,Salt Lake,Salt Lake City_Utah,Utah,213367,186571,0.1436,744,287,17.9,72.1,1.7,0.6,3.9,1.5,30134,10.4,4.3,26796,2679.6,189250.6,191930.2,194609.8,197289.4,199969,202648.6,205328.2,208007.8,210687.4,Salt Lake City,UT,202633,583,474,109
110,111,Moreno Valley,Riverside,Moreno Valley_California,California,212992,194241,0.0965,1604,133,48,36.6,6,0.4,6.1,0.3,25700,15.6,9.9,18751,1875.1,196116.1,197991.2,199866.3,201741.4,203616.5,205491.6,207366.7,209241.8,211116.9,,,,,,
111,112,Oxnard,Ventura,Oxnard_California,California,212715,198465,0.0718,3096,69,42.3,46.1,1.6,0.3,7,0.1,35771,10.3,6.6,14250,1425,199890,201315,202740,204165,205590,207015,208440,209865,211290,Oxnard,CA,211737,357,239,118
112,113,Santa Clarita,Los Angeles,Santa Clarita_California,California,210543,204213,0.031,1149,183,48.4,26.5,7.9,0.2,14.3,0.2,30798,17,7.8,6330,633,204846,205479,206112,206745,207378,208011,208644,209277,209910,,,,,,
113,114,Birmingham,Jefferson,Birmingham_Alabama,Alabama,208940,211743,-0.0132,552,378,3.7,50.4,42.4,0.2,1.5,0,29456,17.6,7.7,-2803,-280.3,211462.7,211182.4,210902.1,210621.8,210341.5,210061.2,209780.9,209500.6,209220.3,Birmingham,AL,210564,977,762,215
114,115,McKinney,Collin,McKinney_Texas,Texas,208487,132943,0.5682,1203,173,15.1,59.1,9.2,0.3,13.5,0.1,41609,6.9,4.3,75544,7554.4,140497.4,148051.8,155606.2,163160.6,170715,178269.4,185823.8,193378.2,200932.6,McKinney,TX,189555,273,212,61
115,116,Port St. Lucie,St. Lucie,Port St. Lucie_Florida,Florida,206410,164843,0.2522,669,309,18.1,58.6,19.2,0.2,1.9,0.1,24940,16.6,7.6,41567,4156.7,168999.7,173156.4,177313.1,181469.8,185626.5,189783.2,193939.9,198096.6,202253.3,Port St. Lucie,FL,193137,299,232,67
116,117,Fayetteville,Cumberland,Fayetteville_North Carolina,North Carolina,205646,208335,-0.0129,537,383,11.2,44.6,35.5,1.2,2.4,0.2,23627,18.2,10,-2689,-268.9,208066.1,207797.2,207528.3,207259.4,206990.5,206721.6,206452.7,206183.8,205914.9,Fayetteville,NC,210117,582,428,154
117,118,Grand Rapids,Kent,Grand Rapids_Michigan,Michigan,205289,188003,0.0919,1771,116,10.3,74.4,9.3,0.3,2.8,0,29433,13.4,5.4,17286,1728.6,189731.6,191460.2,193188.8,194917.4,196646,198374.6,200103.2,201831.8,203560.4,Grand Rapids,MI,200428,335,276,59
118,119,Glendale,Los Angeles,Glendale_California,California,204765,191726,0.068,2595,79,48.4,26.5,7.9,0.2,14.3,0.2,30798,17,7.8,13039,1303.9,193029.9,194333.8,195637.7,196941.6,198245.5,199549.4,200853.3,202157.2,203461.1,Glendale,CA,204724,323,223,100
119,120,Rochester,Monroe,Rochester_New York,New York,203792,210452,-0.0316,2200,93,8.3,71,14.5,0.2,3.6,0,31291,14.8,6.6,-6660,-666,209786,209120,208454,207788,207122,206456,205790,205124,204458,Rochester,NY,207701,863,747,116
120,121,Huntsville,Madison,Huntsville_Alabama,Alabama,202910,180960,0.1213,365,555,4.7,65.1,24,0.6,2.5,0.1,34232,13.6,6.5,21950,2195,183155,185350,187545,189740,191935,194130,196325,198520,200715,Huntsville,AL,196620,633,434,199
121,122,Amarillo,Potter,Amarillo_Texas,Texas,202028,191255,0.0563,767,264,37.6,45.2,9.3,0.3,5.2,0.1,21941,21.7,4.2,10773,1077.3,192332.3,193409.6,194486.9,195564.2,196641.5,197718.8,198796.1,199873.4,200950.7,,,,,,
122,123,Huntington Beach,Orange,Huntington Beach_California,California,201941,191303,0.0556,2887,70,34.2,41.4,1.6,0.2,19.5,0.3,37603,12.1,5.8,10638,1063.8,192366.8,193430.6,194494.4,195558.2,196622,197685.8,198749.6,199813.4,200877.2,Huntington Beach,CA,203428,349,215,134
123,124,Spring Valley,Clark,Spring Valley_Nevada,Nevada,199722,178395,0.1195,2319,86,30.7,44.1,10.8,0.4,9.5,0.7,27719,14.6,8.3,21327,2132.7,180527.7,182660.4,184793.1,186925.8,189058.5,191191.2,193323.9,195456.6,197589.3,,,,,,
124,125,Cape Coral,Lee,Cape Coral_Florida,Florida,199503,154735,0.2893,727,274,20.2,68.4,8.2,0.2,1.5,0,30233,14.9,7.1,44768,4476.8,159211.8,163688.6,168165.4,172642.2,177119,181595.8,186072.6,190549.4,195026.2,Cape Coral,FL,187869,311,228,83
125,126,Tallahassee,Leon,Tallahassee_Florida,Florida,199205,181596,0.097,766,260,6.1,57.2,30.7,0.2,3.3,0,28548,20.5,8.8,17609,1760.9,183356.9,185117.8,186878.7,188639.6,190400.5,192161.4,193922.3,195683.2,197444.1,Tallahassee,FL,192443,447,377,70
126,127,Yonkers,Westchester,Yonkers_New York,New York,199021,196405,0.0133,4266,47,24,54.4,13.5,0.1,5.8,0,52049,9.4,6.5,2616,261.6,196666.6,196928.2,197189.8,197451.4,197713,197974.6,198236.2,198497.8,198759.4,Yonkers,NY,202827,669,587,82
127,128,Aurora,Kane,Aurora_Illinois,Illinois,198870,198157,0.0036,1706,117,31.6,57.6,5.4,0.1,3.9,0,33486,10.4,6.2,713,71.3,198228.3,198299.6,198370.9,198442.2,198513.5,198584.8,198656.1,198727.4,198798.7,,,,,,
128,129,Grand Prairie,Dallas,Grand Prairie_Texas,Texas,198442,175979,0.1276,1060,187,39.6,30.2,22.1,0.2,6,0,29810,17.7,5.9,22463,2246.3,178225.3,180471.6,182717.9,184964.2,187210.5,189456.8,191703.1,193949.4,196195.7,Grand Prairie,TX,196535,506,260,246
129,130,Akron,Summit,Akron_Ohio,Ohio,198148,199003,-0.0043,1235,160,2,77.8,14.4,0.2,3,0,30803,13.6,6.4,-855,-85.5,198917.5,198832,198746.5,198661,198575.5,198490,198404.5,198319,198233.5,Akron,OH,197690,475,442,33
130,131,Little Rock,Pulaski,Little Rock_Arkansas,Arkansas,197371,193928,0.0178,635,311,6,53.2,35.9,0.2,2.1,0,29855,17.3,5.9,3443,344.3,194272.3,194616.6,194960.9,195305.2,195649.5,195993.8,196338.1,196682.4,197026.7,Little Rock,AR,199288,701,575,126
131,132,Montgomery,Montgomery,Montgomery_Alabama,Alabama,197282,205593,-0.0404,476,414,3.4,35.2,57.1,0.1,2.4,0,26712,20.8,7.6,-8311,-831.1,204761.9,203930.8,203099.7,202268.6,201437.5,200606.4,199775.3,198944.2,198113.1,Montgomery,AL,198662,566,474,92
132,133,Overland Park,Johnson,Overland Park_Kansas,Kansas,196636,174041,0.1298,1010,195,7.4,80.5,4.5,0.2,4.7,0,43061,5.6,3.5,22595,2259.5,176300.5,178560,180819.5,183079,185338.5,187598,189857.5,192117,194376.5,Overland Park,KS,193877,295,237,58
133,134,Augusta,Richmond,Augusta_Georgia,Georgia,196303,196192,0.0006,251,783,4.8,35.5,55.2,0.2,1.8,0.2,21464,24.2,11.6,111,11.1,196203.1,196214.2,196225.3,196236.4,196247.5,196258.6,196269.7,196280.8,196291.9,,,,,,
134,135,Tempe,Maricopa,Tempe_Arizona,Arizona,194218,162326,0.1965,1876,104,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,31892,3189.2,165515.2,168704.4,171893.6,175082.8,178272,181461.2,184650.4,187839.6,191028.8,Tempe,AZ,188543,488,346,142
135,136,Sunrise Manor,Clark,Sunrise Manor_Nevada,Nevada,192934,189372,0.0188,2232,86,30.7,44.1,10.8,0.4,9.5,0.7,27719,14.6,8.3,3562,356.2,189728.2,190084.4,190440.6,190796.8,191153,191509.2,191865.4,192221.6,192577.8,,,,,,
136,137,Knoxville,Knox,Knoxville_Tennessee,Tennessee,191060,178432,0.0708,747,256,4,82.7,8.8,0.2,2.1,0,30541,15.8,5.5,12628,1262.8,179694.8,180957.6,182220.4,183483.2,184746,186008.8,187271.6,188534.4,189797.2,Knoxville,TN,188653,502,387,115
137,138,Sioux Falls,Minnehaha,Sioux Falls_South Dakota,South Dakota,190519,154526,0.2329,940,203,4.7,83.6,4.7,2.3,1.9,0,29551,11,3.4,35993,3599.3,158125.3,161724.6,165323.9,168923.2,172522.5,176121.8,179721.1,183320.4,186919.7,Sioux Falls,SD,180335,293,256,37
138,139,Columbus,Muscogee,Columbus_Georgia,Georgia,189296,191105,-0.0095,338,561,7.5,41.1,45,0.3,2.4,0.2,24604,21.7,10,-1809,-180.9,190924.1,190743.2,190562.3,190381.4,190200.5,190019.6,189838.7,189657.8,189476.9,Columbus,GA,194135,503,403,100
139,140,Mobile,Mobile,Mobile_Alabama,Alabama,186804,194577,-0.0399,517,361,2.8,57.5,35.2,0.6,1.9,0,24347,19.3,7.5,-7773,-777.3,193799.7,193022.4,192245.1,191467.8,190690.5,189913.2,189135.9,188358.6,187581.3,Mobile,AL,245475,715,494,221
140,141,Ontario,San Bernardino,Ontario_California,California,186653,164369,0.1356,1442,129,52.3,29.8,8,0.3,6.7,0.3,22867,18.2,9.9,22284,2228.4,166597.4,168825.8,171054.2,173282.6,175511,177739.4,179967.8,182196.2,184424.6,Ontario,CA,177542,381,280,101
141,142,Vancouver,Clark,Vancouver_Washington,Washington,186516,167622,0.1127,1477,126,9,79.4,1.8,0.5,4.4,0.7,32162,10.3,6.2,18894,1889.4,169511.4,171400.8,173290.2,175179.6,177069,178958.4,180847.8,182737.2,184626.6,Vancouver,WA,177580,258,205,53
142,143,Worcester,Worcester,Worcester_Massachusetts,Massachusetts,186433,181878,0.025,1927,97,10.8,77.9,4.3,0.2,4.7,0,34691,11.1,6.1,4555,455.5,182333.5,182789,183244.5,183700,184155.5,184611,185066.5,185522,185977.5,Worcester,MA,186188,495,445,50
143,144,Fort Lauderdale,Broward,Fort Lauderdale_Florida,Florida,184599,166138,0.1111,2061,90,28.4,38.2,27.4,0.2,3.5,0,30109,14,7.6,18461,1846.1,167984.1,169830.2,171676.3,173522.4,175368.5,177214.6,179060.7,180906.8,182752.9,Fort Lauderdale,FL,182150,679,525,154
144,145,Chattanooga,Hamilton,Chattanooga_Tennessee,Tennessee,184143,170559,0.0796,497,370,5.3,71.4,19.3,0.1,2,0,29711,14.5,5.9,13584,1358.4,171917.4,173275.8,174634.2,175992.6,177351,178709.4,180067.8,181426.2,182784.6,Chattanooga,TN,180397,601,490,111
145,146,Shreveport,Caddo,Shreveport_Louisiana,Louisiana,183819,200869,-0.0849,661,278,2.8,45.6,48.3,0.4,1.2,0,25565,23.4,7,-17050,-1705,199164,197459,195754,194049,192344,190639,188934,187229,185524,,,,,,
146,147,Brownsville,Cameron,Brownsville_Texas,Texas,183748,175400,0.0476,536,343,89.3,9.3,0.4,0.1,0.6,0,16085,31.2,8,8348,834.8,176234.8,177069.6,177904.4,178739.2,179574,180408.8,181243.6,182078.4,182913.2,Brownsville,TX,184461,299,197,102
147,148,Peoria,Maricopa,Peoria_Arizona,Arizona,180219,154891,0.1635,395,456,30.6,56.3,5.1,1.5,3.9,0.2,30186,15.7,6,25328,2532.8,157423.8,159956.6,162489.4,165022.2,167555,170087.8,172620.6,175153.4,177686.2,Peoria,AZ,170177,278,196,82
148,149,Rancho Cucamonga,San Bernardino,Rancho Cucamonga_California,California,180031,166232,0.083,1733,104,52.3,29.8,8,0.3,6.7,0.3,22867,18.2,9.9,13799,1379.9,167611.9,168991.8,170371.7,171751.6,173131.5,174511.4,175891.3,177271.2,178651.1,,,,,,
149,150,Salem,Marion,Salem_Oregon,Oregon,179944,155229,0.1592,1427,126,26,66.3,1,0.5,2,0.8,24791,15.9,6.8,24715,2471.5,157700.5,160172,162643.5,165115,167586.5,170058,172529.5,175001,177472.5,Salem,OR,172022,318,190,128
150,151,Providence,Providence,Providence_Rhode Island,Rhode Island,178901,178100,0.0045,3753,48,21.6,62.2,8,0.4,4.1,0.1,29025,16.7,7.6,801,80.1,178180.1,178260.2,178340.3,178420.4,178500.5,178580.6,178660.7,178740.8,178820.9,Providence,RI,180169,505,410,95
151,152,Eugene,Lane,Eugene_Oregon,Oregon,178329,156527,0.1393,1560,114,8.4,82.6,1,0.8,2.5,0.2,27032,18.8,7.6,21802,2180.2,158707.2,160887.4,163067.6,165247.8,167428,169608.2,171788.4,173968.6,176148.8,Eugene,OR,170771,306,181,125
152,153,Elk Grove,Sacramento,Elk Grove_California,California,177406,153394,0.1565,1630,109,22.8,45.7,9.5,0.4,15.1,1.1,29693,16.7,8.8,24012,2401.2,155795.2,158196.4,160597.6,162998.8,165400,167801.2,170202.4,172603.6,175004.8,Elk Grove,CA,174651,226,139,87
153,154,Santa Rosa,Sonoma,Santa Rosa_California,California,177132,175304,0.0104,1608,110,26.4,63.8,1.4,0.5,3.9,0.3,37767,10.7,5.9,1828,182.8,175486.8,175669.6,175852.4,176035.2,176218,176400.8,176583.6,176766.4,176949.2,Santa Rosa,CA,176325,246,170,76
154,155,Newport News,Newport News,Newport News_Virginia,Virginia,177064,180925,-0.0213,991,179,8.6,44,39.8,0.2,3.1,0.2,26028,16.4,7.5,-3861,-386.1,180538.9,180152.8,179766.7,179380.6,178994.5,178608.4,178222.3,177836.2,177450.1,,,,,,
155,156,Pembroke Pines,Broward,Pembroke Pines_Florida,Florida,177058,155268,0.1403,2092,85,28.4,38.2,27.4,0.2,3.5,0,30109,14,7.6,21790,2179,157447,159626,161805,163984,166163,168342,170521,172700,174879,Pembroke Pines,FL,173053,361,267,94
156,157,Oceanside,San Diego,Oceanside_California,California,176950,167919,0.0538,1656,107,33.4,46.2,4.7,0.4,11.5,0.4,34350,13.3,7.1,9031,903.1,168822.1,169725.2,170628.3,171531.4,172434.5,173337.6,174240.7,175143.8,176046.9,Oceanside,CA,177464,293,207,86
157,158,Cary,Wake,Cary_North Carolina,North Carolina,175102,137021,0.2779,1151,152,10,60.6,20,0.3,6.4,0,37315,10.1,4.9,38081,3808.1,140829.1,144637.2,148445.3,152253.4,156061.5,159869.6,163677.7,167485.8,171293.9,Cary,NC,170518,231,190,41
158,159,Fort Collins,Larimer,Fort Collins_Colorado,Colorado,172862,145267,0.19,1167,148,11.2,83.2,0.9,0.5,2,0.1,34087,12.4,5.3,27595,2759.5,148026.5,150786,153545.5,156305,159064.5,161824,164583.5,167343,170102.5,Fort Collins,CO,168163,302,207,95
159,160,Corona,Riverside,Corona_California,California,171213,153249,0.1172,1653,104,48,36.6,6,0.4,6.1,0.3,25700,15.6,9.9,17964,1796.4,155045.4,156841.8,158638.2,160434.6,162231,164027.4,165823.8,167620.2,169416.6,Corona,CA,170041,209,148,61
160,161,Garden Grove,Orange,Garden Grove_California,California,170328,171186,-0.005,3662,47,34.2,41.4,1.6,0.2,19.5,0.3,37603,12.1,5.8,-858,-85.8,171100.2,171014.4,170928.6,170842.8,170757,170671.2,170585.4,170499.6,170413.8,Garden Grove,CA,174661,213,155,58
161,162,Springfield,Greene,Springfield_Missouri,Missouri,169552,159484,0.0631,795,213,3.5,88.2,3.2,0.4,1.9,0.1,25529,18.5,5,10068,1006.8,160490.8,161497.6,162504.4,163511.2,164518,165524.8,166531.6,167538.4,168545.2,Springfield,MO,168537,409,335,74
162,163,Alexandria,Alexandria,Alexandria_Virginia,Virginia,165748,140740,0.1777,4285,39,16.7,51.8,21.7,0.1,6.1,0,57019,10.5,3.9,25008,2500.8,143240.8,145741.6,148242.4,150743.2,153244,155744.8,158245.6,160746.4,163247.2,,,,,,
163,164,Bayamon,Bayamon,Bayamon_Puerto Rico,Puerto Rico,165383,185996,-0.1108,2367,70,99.1,0.6,0.1,0,0.1,0,14138,34.7,14.5,-20613,-2061.3,183934.7,181873.4,179812.1,177750.8,175689.5,173628.2,171566.9,169505.6,167444.3,,,,,,
164,165,Clarksville,Montgomery,Clarksville_Tennessee,Tennessee,164496,133480,0.2324,643,256,9.7,64.6,18.6,0.5,2.1,0.4,24827,14.2,7.5,31016,3101.6,136581.6,139683.2,142784.8,145886.4,148988,152089.6,155191.2,158292.8,161394.4,Clarksville,TN,156264,342,278,64
165,166,Enterprise,Clark,Enterprise_Nevada,Nevada,164314,108481,0.5147,1241,132,30.7,44.1,10.8,0.4,9.5,0.7,27719,14.6,8.3,55833,5583.3,114064.3,119647.6,125230.9,130814.2,136397.5,141980.8,147564.1,153147.4,158730.7,,,,,,
166,167,Hayward,Alameda,Hayward_California,California,161314,144746,0.1145,1368,118,22.5,32.2,10.7,0.3,28.7,0.8,41363,11.3,6,16568,1656.8,146402.8,148059.6,149716.4,151373.2,153030,154686.8,156343.6,158000.4,159657.2,Hayward,CA,162881,292,177,115
167,168,Jackson,Hinds,Jackson_Mississippi,Mississippi,160080,173738,-0.0786,556,288,1.5,25.3,71.6,0.1,0.8,0,22397,23.9,10,-13658,-1365.8,172372.2,171006.4,169640.6,168274.8,166909,165543.2,164177.4,162811.6,161445.8,,,,,,
168,169,Lakewood,Jefferson,Lakewood_Colorado,Colorado,158660,142786,0.1112,1423,111,15.2,78.7,1,0.4,2.7,0.1,40187,7.8,4.3,15874,1587.4,144373.4,145960.8,147548.2,149135.6,150723,152310.4,153897.8,155485.2,157072.6,Lakewood,CO,156779,409,285,124
169,170,Lancaster,Los Angeles,Lancaster_California,California,158627,156822,0.0115,650,244,48.4,26.5,7.9,0.2,14.3,0.2,30798,17,7.8,1805,180.5,157002.5,157183,157363.5,157544,157724.5,157905,158085.5,158266,158446.5,,,,,,
170,171,Hollywood,Broward,Hollywood_Florida,Florida,158239,141018,0.1221,2240,71,28.4,38.2,27.4,0.2,3.5,0,30109,14,7.6,17221,1722.1,142740.1,144462.2,146184.3,147906.4,149628.5,151350.6,153072.7,154794.8,156516.9,Hollywood,FL,155503,394,300,94
171,172,Palmdale,Los Angeles,Palmdale_California,California,156299,152962,0.0218,569,275,48.4,26.5,7.9,0.2,14.3,0.2,30798,17,7.8,3337,333.7,153295.7,153629.4,153963.1,154296.8,154630.5,154964.2,155297.9,155631.6,155965.3,,,,,,
172,173,Salinas,Monterey,Salinas_California,California,155619,150904,0.0312,2565,61,57.9,30.6,2.5,0.2,5.6,0.5,27168,14.7,6,4715,471.5,151375.5,151847,152318.5,152790,153261.5,153733,154204.5,154676,155147.5,Salinas,CA,158590,204,151,53
173,174,Springfield,Hampden,Springfield_Massachusetts,Massachusetts,155472,153613,0.0121,1884,83,23.9,64.1,7.8,0.1,2.2,0,28072,17.2,8,1859,185.9,153798.9,153984.8,154170.7,154356.6,154542.5,154728.4,154914.3,155100.2,155286.1,Springfield,MA,155179,552,489,63
174,175,Bellevue,King,Bellevue_Washington,Washington,154647,128358,0.2048,1784,87,9.5,61.4,6,0.5,16.5,0.8,46316,10.2,5,26289,2628.9,130986.9,133615.8,136244.7,138873.6,141502.5,144131.4,146760.3,149389.2,152018.1,Bellevue,WA,146913,210,172,38
175,176,Killeen,Bell,Killeen_Texas,Texas,153973,128980,0.1938,1090,141,24,47.2,21,0.3,2.8,0.7,25017,14.3,8.3,24993,2499.3,131479.3,133978.6,136477.9,138977.2,141476.5,143975.8,146475.1,148974.4,151473.7,Killeen,TX,148007,322,251,71
176,177,Kansas City,Wyandotte,Kansas City_Kansas,Kansas,153600,145883,0.0529,475,323,28.1,41.6,22.7,0.3,3.9,0.1,20192,21.4,8.3,7717,771.7,146654.7,147426.4,148198.1,148969.8,149741.5,150513.2,151284.9,152056.6,152828.3,,,,,,
177,178,Macon,Bibb,Macon_Georgia,Georgia,152519,155810,-0.0211,236,646,3.2,39.3,54,0.2,1.9,0,23426,26.7,10.4,-3291,-329.1,155480.9,155151.8,154822.7,154493.6,154164.5,153835.4,153506.3,153177.2,152848.1,,,,,,
178,179,Sunnyvale,Santa Clara,Sunnyvale_California,California,152427,140465,0.0852,2671,57,26.1,32.6,2.4,0.2,34.9,0.3,48689,8.6,5.7,11962,1196.2,141661.2,142857.4,144053.6,145249.8,146446,147642.2,148838.4,150034.6,151230.8,Sunnyvale,CA,155637,282,217,65
179,180,Pomona,Los Angeles,Pomona_California,California,152405,149083,0.0223,2560,60,48.4,26.5,7.9,0.2,14.3,0.2,30798,17,7.8,3322,332.2,149415.2,149747.4,150079.6,150411.8,150744,151076.2,151408.4,151740.6,152072.8,Pomona,CA,153496,269,146,123
180,181,Escondido,San Diego,Escondido_California,California,152245,144437,0.0541,1575,97,33.4,46.2,4.7,0.4,11.5,0.4,34350,13.3,7.1,7808,780.8,145217.8,145998.6,146779.4,147560.2,148341,149121.8,149902.6,150683.4,151464.2,Escondido,CA,153073,209,155,54
181,182,Pasadena,Harris,Pasadena_Texas,Texas,151891,149529,0.0158,1346,113,42.2,30.6,18.5,0.2,6.8,0.1,30856,16.8,6.4,2362,236.2,149765.2,150001.4,150237.6,150473.8,150710,150946.2,151182.4,151418.6,151654.8,,,,,,
182,183,Murfreesboro,Rutherford,Murfreesboro_Tennessee,Tennessee,151066,109524,0.3793,945,160,7.4,72.5,13.9,0.2,3.1,0,27932,11.8,5.1,41542,4154.2,113678.2,117832.4,121986.6,126140.8,130295,134449.2,138603.4,142757.6,146911.8,Murfreesboro,TN,140702,292,242,50
183,184,Naperville,DuPage,Naperville_Illinois,Illinois,149196,142388,0.0478,1484,101,14.1,67.9,4.6,0.1,11.3,0,42050,6.8,5.2,6808,680.8,143068.8,143749.6,144430.4,145111.2,145792,146472.8,147153.6,147834.4,148515.2,,,,,,
184,185,Joliet,Will,Joliet_Illinois,Illinois,148227,147654,0.0039,892,166,16.8,64.7,11,0.1,5.2,0,33731,7.4,6,573,57.3,147711.3,147768.6,147825.9,147883.2,147940.5,147997.8,148055.1,148112.4,148169.7,Joliet,IL,148553,340,269,71
185,186,Paterson,Passaic,Paterson_New Jersey,New Jersey,145871,146397,-0.0036,6694,22,40.5,42,10.6,0.2,5.2,0,29393,17,6,-526,-52.6,146344.4,146291.8,146239.2,146186.6,146134,146081.4,146028.8,145976.2,145923.6,Paterson,NJ,146893,526,419,107
186,187,Savannah,Chatham,Savannah_Georgia,Georgia,145754,137492,0.0601,542,269,6.3,49.1,39.4,0.2,2.5,0.1,28765,17.3,8.7,8262,826.2,138318.2,139144.4,139970.6,140796.8,141623,142449.2,143275.4,144101.6,144927.8,,,,,,
187,188,Rockford,Winnebago,Rockford_Illinois,Illinois,145020,153148,-0.0531,870,167,12.2,70.2,12.4,0.1,2.5,0,27297,15.3,10,-8128,-812.8,152335.2,151522.4,150709.6,149896.8,149084,148271.2,147458.4,146645.6,145832.8,Rockford,IL,146198,339,299,40
188,189,Midland,Midland,Midland_Texas,Texas,145012,111284,0.3031,753,193,43.2,47.3,5.9,0.4,1.8,0,38545,8.7,3.5,33728,3372.8,114656.8,118029.6,121402.4,124775.2,128148,131520.8,134893.6,138266.4,141639.2,,,,,,
